Airline,Source,Destination,Total_Stops,Additional_Info,Price,Date_of_Journey_day,Date_of_Journey_month,Date_of_Journey_weekday,Date_of_Journey_hour,Date_of_Journey_minute,Route_stops,Dep_Time_minutes,Arrival_Time_minutes,Duration_minutes
Multiple carriers,Delhi,Cochin,1 stop,No info,14277,21,5,1,0,0,2.0,480.0,1260,780
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,1,6,5,0,0,2.0,600.0,265,1105
Jet Airways,Mumbai,Hyderabad,non-stop,No info,5678,27,3,2,0,0,1.0,1175.0,1265,90
Multiple carriers,Delhi,Cochin,1 stop,No info,13727,15,5,2,0,0,2.0,960.0,90,570
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663,6,5,0,0,0,2.0,1200.0,720,960
IndiGo,Chennai,Kolkata,non-stop,No info,3858,12,5,6,0,0,1.0,885.0,1025,140
SpiceJet,Delhi,Cochin,1 stop,No info,4812,24,6,0,0,0,2.0,525.0,795,270
IndiGo,Delhi,Cochin,1 stop,No info,5775,27,6,3,0,0,2.0,1310.0,215,345
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10539,6,6,3,0,0,2.0,575.0,585,1450
IndiGo,Kolkata,Banglore,non-stop,No info,4804,3,6,0,0,0,1.0,930.0,1085,155
Air Asia,Banglore,Delhi,non-stop,No info,3383,12,6,2,0,0,1.0,670.0,835,165
IndiGo,Banglore,New Delhi,1 stop,No info,8738,3,3,6,0,0,2.0,730.0,1025,295
Air India,Delhi,Cochin,1 stop,No info,7165,27,3,2,0,0,2.0,315.0,410,1535
IndiGo,Delhi,Cochin,1 stop,No info,6412,24,6,0,0,0,2.0,970.0,1350,380
Jet Airways,Banglore,Delhi,non-stop,No info,8016,27,6,3,0,0,1.0,1135.0,1320,185
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087,12,3,1,0,0,2.0,1235.0,915,1120
SpiceJet,Chennai,Kolkata,non-stop,No check-in baggage included,3543,27,6,3,0,0,1.0,585.0,720,135
Jet Airways,Kolkata,Banglore,1 stop,No info,12471,12,6,2,0,0,2.0,990.0,280,730
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,24,6,0,0,0,2.0,540.0,265,1165
Air India,Banglore,New Delhi,non-stop,No info,4441,18,3,0,0,0,1.0,800.0,970,170
Multiple carriers,Delhi,Cochin,1 stop,No info,12537,27,3,2,0,0,2.0,425.0,930,505
GoAir,Kolkata,Banglore,1 stop,No info,10091,24,3,6,0,0,2.0,1345.0,460,555
Air India,Banglore,Delhi,non-stop,No info,6961,3,6,0,0,0,1.0,1265.0,1435,170
IndiGo,Delhi,Cochin,non-stop,No info,5013,24,4,2,0,0,1.0,335.0,530,195
Air India,Delhi,Cochin,non-stop,No info,6934,18,5,5,0,0,1.0,310.0,480,170
Multiple carriers,Delhi,Cochin,1 stop,No info,10877,3,6,0,0,0,2.0,400.0,1140,740
Jet Airways,Banglore,Delhi,non-stop,No info,7229,18,4,3,0,0,1.0,915.0,1090,175
IndiGo,Delhi,Cochin,1 stop,No info,7048,27,3,2,0,0,2.0,960.0,95,575
Vistara,Banglore,Delhi,non-stop,No info,4878,27,6,3,0,0,1.0,1020.0,1175,155
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,21,5,1,0,0,2.0,845.0,1415,570
Jet Airways,Delhi,Cochin,2 stops,No info,15129,18,5,5,0,0,3.0,1385.0,265,1760
IndiGo,Banglore,Delhi,non-stop,No info,3943,12,5,6,0,0,1.0,30.0,205,175
SpiceJet,Delhi,Cochin,1 stop,No info,5583,6,6,3,0,0,2.0,365.0,680,315
Multiple carriers,Delhi,Cochin,1 stop,No info,9646,6,6,3,0,0,2.0,425.0,970,545
Multiple carriers,Delhi,Cochin,1 stop,No info,7677,3,6,0,0,0,2.0,510.0,1155,645
IndiGo,Delhi,Cochin,1 stop,No info,6842,1,6,5,0,0,2.0,310.0,605,295
Jet Airways,Mumbai,Hyderabad,non-stop,In-flight meal not included,4995,24,6,0,0,0,1.0,525.0,615,90
Vistara,Kolkata,Banglore,1 stop,No info,9555,9,6,6,0,0,2.0,430.0,1130,700
IndiGo,Banglore,Delhi,non-stop,No info,4077,1,6,5,0,0,1.0,90.0,255,165
Jet Airways,Banglore,Delhi,non-stop,No info,7229,12,5,6,0,0,1.0,915.0,1090,175
Multiple carriers,Delhi,Cochin,1 stop,No info,12192,9,6,6,0,0,2.0,540.0,1140,600
Air India,Banglore,Delhi,non-stop,No info,5911,12,4,4,0,0,1.0,600.0,765,165
Air India,Delhi,Cochin,1 stop,No info,8372,12,6,2,0,0,2.0,540.0,1155,615
Jet Airways,Mumbai,Hyderabad,non-stop,In-flight meal not included,4995,18,3,0,0,0,1.0,430.0,515,85
Multiple carriers,Delhi,Cochin,1 stop,No info,14323,9,5,3,0,0,2.0,600.0,1155,555
Jet Airways,Delhi,Cochin,2 stops,No info,13014,9,6,6,0,0,3.0,330.0,265,1375
Air India,Delhi,Cochin,2 stops,No info,13591,6,6,3,0,0,3.0,865.0,1155,1730
Jet Airways,Delhi,Cochin,2 stops,No info,18799,3,3,6,0,0,3.0,325.0,1130,2245
IndiGo,Banglore,Delhi,non-stop,No info,3943,27,4,5,0,0,1.0,1410.0,140,170
SpiceJet,Mumbai,Hyderabad,non-stop,No check-in baggage included,1965,21,5,1,0,0,1.0,345.0,435,90
Jet Airways,Mumbai,Hyderabad,non-stop,In-flight meal not included,4995,27,5,0,0,0,1.0,620.0,710,90
Air India,Kolkata,Banglore,1 stop,No info,14641,24,3,6,0,0,2.0,1010.0,1110,1540
Air India,Kolkata,Banglore,non-stop,No info,4460,12,4,4,0,0,1.0,1245.0,1400,155
Air India,Delhi,Cochin,1 stop,No info,10191,18,5,5,0,0,2.0,780.0,1155,375
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,13843,9,3,5,0,0,2.0,135.0,1185,1050
IndiGo,Delhi,Cochin,1 stop,No info,6349,1,5,2,0,0,2.0,1310.0,215,345
Air Asia,Kolkata,Banglore,non-stop,No info,4409,1,5,2,0,0,1.0,620.0,775,155
Jet Airways,Delhi,Cochin,1 stop,No info,17024,6,3,2,0,0,2.0,1095.0,1185,1530
Multiple carriers,Delhi,Cochin,1 stop,No info,13727,18,5,5,0,0,2.0,425.0,1260,835
IndiGo,Banglore,New Delhi,non-stop,No info,8855,15,3,4,0,0,1.0,1105.0,1280,175
Multiple carriers,Delhi,Cochin,1 stop,No info,12524,24,6,0,0,0,2.0,525.0,1140,615
Jet Airways,Banglore,New Delhi,1 stop,No info,13555,18,3,0,0,0,2.0,700.0,1220,520
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,6,6,3,0,0,2.0,390.0,720,330
Multiple carriers,Delhi,Cochin,1 stop,No info,13587,9,6,6,0,0,2.0,540.0,1260,720
SpiceJet,Chennai,Kolkata,non-stop,No check-in baggage included,3543,12,6,2,0,0,1.0,585.0,720,135
Vistara,Chennai,Kolkata,non-stop,No info,4842,18,3,0,0,0,1.0,425.0,560,135
IndiGo,Banglore,Delhi,non-stop,No info,3943,24,4,2,0,0,1.0,1410.0,140,170
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10577,9,6,6,0,0,2.0,1155.0,265,550
IndiGo,Delhi,Cochin,1 stop,No info,6979,15,5,2,0,0,2.0,635.0,1260,625
Vistara,Chennai,Kolkata,non-stop,No info,11982,27,6,3,0,0,1.0,1065.0,1205,140
SpiceJet,Delhi,Cochin,1 stop,No info,5264,6,6,3,0,0,2.0,525.0,795,270
Vistara,Delhi,Cochin,non-stop,No info,8001,3,3,6,0,0,1.0,360.0,550,190
Air India,Delhi,Cochin,2 stops,No info,10651,1,6,5,0,0,3.0,1185.0,1155,1410
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,24,5,4,0,0,2.0,990.0,1190,1640
Multiple carriers,Delhi,Cochin,1 stop,No info,6601,27,3,2,0,0,2.0,585.0,1340,755
Air India,Delhi,Cochin,1 stop,No info,6587,21,3,3,0,0,2.0,1140.0,1155,1455
SpiceJet,Mumbai,Hyderabad,non-stop,No info,3173,21,3,3,0,0,1.0,790.0,870,80
Air India,Banglore,Delhi,non-stop,No info,5228,9,5,3,0,0,1.0,600.0,765,165
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,5769,21,6,4,0,0,1.0,430.0,610,180
Jet Airways,Delhi,Cochin,1 stop,No info,14714,6,6,3,0,0,2.0,480.0,1140,660
Jet Airways,Delhi,Cochin,2 stops,No info,13014,3,6,0,0,0,3.0,330.0,1140,810
IndiGo,Banglore,Delhi,non-stop,No info,3359,3,6,0,0,0,1.0,1330.0,60,170
GoAir,Banglore,New Delhi,non-stop,No info,6722,3,3,6,0,0,1.0,1255.0,1430,175
IndiGo,Kolkata,Banglore,non-stop,No info,4462,18,3,0,0,0,1.0,575.0,740,165
IndiGo,Delhi,Cochin,1 stop,No info,6171,9,3,5,0,0,2.0,295.0,970,675
Air India,Kolkata,Banglore,2 stops,No info,12303,21,5,1,0,0,3.0,350.0,1225,875
